news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name
AARP,center,3,Think Tank / Policy Group,1404,2343,0.37469975980784626,https://www.allsides.com/news-source/aarp-media-bias,0,0,0,0,NA,https://twitter.com/AARP,https://en.wikipedia.org/wiki/AARP,NA,AARP
ABC News,left-center,2,News Media,13793,9409,0.5944746142573916,https://www.allsides.com/news-source/abc-news-media-bias,0,1,1,1,High,https://twitter.com/ABC,https://en.wikipedia.org/wiki/ABC_News,https://www.facebook.com/ABCNews/,ABC
Abridge News,allsides,NA,News Media,31,17,0.6458333333333334,https://www.allsides.com/news-source/abridge-news-media-bias,0,0,0,1,High,https://twitter.com/Abridge_News,NA,https://www.facebook.com/AbridgeNews,Abridge_News
Accuracy in Media,right,5,Think Tank / Policy Group,743,444,0.6259477674810446,https://www.allsides.com/news-source/accuracy-media,0,0,0,1,Medium,NA,https://en.wikipedia.org/wiki/Accuracy_in_Media,NA,NA
ACLU,left-center,2,Think Tank / Policy Group,1272,1697,0.42842707982485684,https://www.allsides.com/news-source/american-civil-liberties-union,0,0,0,0,NA,https://twitter.com/@ACLU,https://en.wikipedia.org/wiki/American_Civil_Liberties_Union,https://www.facebook.com/aclu/,ACLU
AJ+,left,1,News Media,13,5,0.7222222222222222,https://www.allsides.com/news-source/aj-media-bias,0,0,0,1,Low or Initial Rating,NA,NA,NA,NA
Al Jazeera,left-center,2,News Media,3707,6138,0.376536312849162,https://www.allsides.com/news-source/al-jazeera-america,0,0,1,1,Low or Initial Rating,https://twitter.com/@AJEnglish,https://en.wikipedia.org/wiki/Al_Jazeera,https://www.facebook.com/aljazeera/,AJEnglish
Associated Press,center,3,News Media,8112,5817,0.5823820805513676,https://www.allsides.com/news-source/associated-press-media-bias,1,0,0,0,Medium,https://twitter.com/@johnleicester,https://en.wikipedia.org/wiki/Associated_Press,https://www.facebook.com/APNews/,johnleicester
Axios,center,3,News Media,1356,1565,0.4642245806230743,https://www.allsides.com/news-source/axios,0,1,0,1,Low or Initial Rating,https://twitter.com/@axios,https://en.wikipedia.org/wiki/Axios_(website),https://www.facebook.com/axiosnews/,axios
BBC News,center,3,News Media,11212,10996,0.5048631123919308,https://www.allsides.com/news-source/bbc-news-media-bias,0,0,0,1,Medium,https://twitter.com/bbcworld,https://en.wikipedia.org/wiki/BBC,https://www.facebook.com/bbcnews/,bbcworld
Bloomberg,center,3,News Media,6430,7570,0.4592857142857143,https://www.allsides.com/news-source/bloomberg-media-bias,0,1,0,1,Medium,https://twitter.com/business,https://en.wikipedia.org/wiki/Bloomberg_News,https://www.facebook.com/bloombergbusiness/,business
Breitbart News,right,5,News Media,17019,8114,0.6771575219830501,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,https://twitter.com/BreitbartNews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews
Brookings Institution,center,3,Think Tank / Policy Group,2222,1459,0.6036403151317576,https://www.allsides.com/news-source/brookings-institute,0,0,0,0,NA,NA,NA,NA,NA
